drug_id	kegg_id
D01275	K03164
D02745	K05131
D02745	K05130
D01068	K07375
D10316	K06744
D10574	K06744
D06503	K00560
D06503	K00287
D06503	K11787
D00491	K07375
D10817	K06745
D02500	K05404
D02748	K05131
D02748	K05130
D02815	K08527
D02815	K08526
D02815	K08524
D02815	K08528
D02815	K08529
D02815	K08525
D00777	K05211
D00777	K05208
D00777	K05212
D00777	K05210
D00777	K05209
D00777	K19394
D00975	K05771
D00088	K05771
D00973	K05771
D02691	K05080
D11875	K24534
D11922	K24534
D00222	K18964
D02764	K18964
D05407	K18964
D00333	K18964
D00317	K18964
D00398	K18964
D00579	K18964
D00391	K00560
D11627	K18964
D04301	K18964
D00273	K18964
D03256	K18964
D10547	K25268
D00901	K19394
D00902	K19392
D00900	K19392
D03829	K19392
D11021	K19390
D00423	K22472
D00353	K21037
D00353	K24802
D01982	K21037
D01982	K24802
D01655	K21037
D04008	K21037
D06675	K21037
D10605	K21037
D02747	K05131
D02747	K05130
D10469	K22274
D10469	K22273
D10366	K22472
D10578	K22275
D10578	K22472
D10582	K22274
D10582	K22275
D10582	K22273
D10582	K22472
D10745	K22274
D10745	K22275
D10745	K22273
D10745	K22599
D10778	K22274
D10778	K22275
D10778	K22273
D10827	K22275
D10827	K22472
D10900	K22274
D10900	K22275
D10900	K22273
D10900	K22472
D11014	K22274
D11014	K22275
D11014	K22273
D01160	K22599
D00897	K22599
D00427	K22599
D00899	K22599
D03835	K22599
D01276	K22599
D08605	K22599
D06478	K22599
D00413	K24802
D00296	K24802
D00445	K24802
D00891	K24802
D01199	K24802
D00435	K24802
D00895	K24802
D00896	K24802
D04112	K24802
D09958	K24802
D10624	K24802
D07133	K24803
D06677	K24803
D10113	K24803
D07507	K24802
D08775	K24802
D02297	K24802
D10838	K24802
D11521	K24802
D10851	K24802
D10571	K24802
D10756	K24803
D10756	K24802
D02498	K22599
D11392	K24802
D11395	K24802
D10600	K24803
D10600	K24802
D10832	K22599
D10753	K22599
D10835	K24802
D10755	K24803
D10755	K24802
D10836	K24802
D11039	K24803
D11039	K24802
D11282	K24803
D11282	K24802
D11382	K22599
D11382	K24802
D11396	K24802
D11522	K24803
D11522	K24802
D02499	K24801
D06670	K04180
D09575	K06454
D10708	K24266
D09881	K17691
D09881	K17692
D09881	K17689
D09881	K17690
D11966	K24803
D11966	K24802
D11472	K24149
D12262	K24152
D11971	K24152
D12114	K24152
D12115	K24152
D12129	K24152
D11936	K24152
D11944	K24152
D12014	K24152
D12174	K24152
D12336	K24152
